recommendation_date,rank,stock_code,stock_name,sector,reference_price,entry_type,entry_low,entry_high,stop_price,target1,target2,holding_period,score,selection_reason,key_risks,rules_version,report_file
2026-07-21,1,2503,キリンホールディングス,食料品,2939.5,押し目反発確認,2860,2900,2790,3070,3250,5〜9営業日（8月3日引けまで）,83,"食料品の相対強度、25日・75日・200日線の順行、Q1増収増益、累進配当、自社株買い枠を評価","原材料・物流費、円安、国内酒類需要、医薬事業、減損、8月7日決算",v0.1.0,reports/screening/2026-07-21.md
2026-07-21,2,9433,KDDI,情報・通信,2911.5,押し目反発確認,2840,2880,2770,3050,3180,5〜9営業日（8月3日引けまで）,80,"上昇トレンド、出来高増、増収増益・増配予想、信用売り超過、自己株式取得枠を評価","内部統制の重要な不備、情報セキュリティ、料金競争、設備投資、8月7日決算",v0.1.0,reports/screening/2026-07-21.md
2026-07-21,3,2269,明治ホールディングス,食料品,3828,押し目反発確認,3740,3790,3650,4000,4180,4〜8営業日（7月30日引けまで）,77,"食料品の相対強度、25日・75日線近辺の押し目、営業増益・増配予想、財務健全性を評価","原材料費、円安、医薬品、減損再発、過年度訂正、8月5日決算",v0.1.0,reports/screening/2026-07-21.md
2026-08-10,1,6758,ソニーグループ,電気機器,3721,押し目反発確認,3580,3650,3500,3960,4120,5〜15営業日（8月31日引けまで）,79,"Q1増収増益と通期上方修正、25日・75日線上の上昇トレンド、決算後の押し目からの反発を評価","熊本地震の業績影響未算定、円高、メモリ高、信用買い長、決算後の大きな値幅",v0.1.1,reports/screening/2026-08-10.md
2026-08-10,2,7751,キヤノン,電気機器,4635,押し目反発確認,4430,4500,4340,4750,4950,5〜15営業日（8月31日引けまで）,76,"上期増収増益と通期増益予想、20日・25日線近辺の押し目余地、十分な流動性を評価","信用買い長、医療・産業部門の減益、在庫増、為替、7月高値での戻り売り",v0.1.1,reports/screening/2026-08-10.md
2026-08-10,3,9432,NTT,情報・通信,158.5,押し目反発確認,152.0,153.5,149.0,161.2,167.0,5〜15営業日（8月31日引けまで）,75,"Q1増収増益、増配予想、全移動平均線上への回復、出来高増を伴う決算後反発を評価","信用買い長、通期最終減益予想、金利負担、通信競争、160円台の戻り売り",v0.1.1,reports/screening/2026-08-10.md
2026-08-17,1,6503,三菱電機,電気機器,6153,押し目反発確認,5840,5920,5690,6265,6500,5〜15営業日（9月7日引けまで）,82,"Q1売上・調整後営業利益が過去最高、通期上方修正、全移動平均線上への回復と出来高増を評価","信用倍率24.19倍、高めのバリュエーション、円高、AI・半導体投資鈍化、決算後の値幅",v0.1.1,reports/screening/2026-08-17.md
2026-08-17,2,4661,オリエンタルランド,サービス業,2966.5,押し目反発確認,2860,2910,2790,3165,3300,5〜15営業日（9月7日引けまで）,80,"Q1増収増益、信用倍率1.20倍、20日線上の押し目余地、東京ディズニーシー25周年を評価","通期減益予想、高PER・PBR、天候・災害、消費減速、クルーズ投資負担",v0.1.1,reports/screening/2026-08-17.md
2026-08-17,3,8306,三菱UFJフィナンシャル・グループ,銀行業,3686,押し目反発確認,3540,3600,3460,3810,3950,5〜15営業日（9月7日引けまで）,78,"Q1過去最高益、通期目標進捗30%、CET1比率改善、20・25日線回復を評価","信用買い長、銀行セクター相対弱含み、国内外金利低下、与信費用、規制変更",v0.1.1,reports/screening/2026-08-17.md
2026-08-24,1,7267,本田技研工業,輸送用機器,1753,押し目反発確認,1660,1690,1620,1800,1880,5〜15営業日（9月14日引けまで）,83,"Q1過去最高、通期上方修正、国内工場再開、輸送用機器の相対強度を評価","中東向け販売・調達制約、中国販売、為替反転、原材料費、供給網、25日線乖離",v0.1.1,reports/screening/2026-08-24.md
